Movie,Release Date,Metacritic,IMDb,Rotten Tomatoes,Fandango
hilma,nan,61.0,nan,nan,nan
a star is born,nan,nan,69.0,nan,nan
mission: impossible,nan,nan,67.0,nan,nan
one flew over the cuckoo's nest,nan,nan,60.0,nan,nan
north circular,2023-07-28,75.0,nan,100,nan
the melt goes on forever: the art & times of david hammons,nan,nan,nan,nan,nan
shazam! fury of the gods,nan,nan,83.0,nan,nan
the black demon,nan,nan,76.0,nan,nan
ferris bueller's day off,nan,nan,78.0,nan,nan
rocketman,nan,nan,71.0,nan,nan
top gun,nan,nan,60.0,nan,nan
book club: the next chapter,nan,nan,80.0,nan,nan
it ain't over,2023-05-12,79.0,nan,98,96
se7en,nan,nan,63.0,nan,nan
the gray man,nan,nan,29.0,nan,nan
sleeping beauty,nan,nan,50.0,nan,nan
mission: impossible - fallout,nan,nan,72.0,nan,nan
the channel,nan,nan,81.0,nan,nan
scarlet,2023-06-09,74.0,nan,78,98
beauty and the beast,nan,nan,71.0,nan,nan
jurassic park,nan,nan,61.0,nan,nan
the hateful eight,nan,nan,81.0,nan,nan
theater camp,2023-07-14,68.0,70.0,83,77
róise & frank,nan,nan,nan,nan,nan
american pie,nan,nan,82.0,nan,nan
creed 2i,nan,nan,68.0,nan,nan
top gun: maverick,nan,nan,83.0,nan,nan
no country for old men,nan,nan,65.0,nan,nan
apocalypse now,nan,nan,74.0,nan,nan
the youtube effect,nan,nan,nan,nan,nan
susie searches,2023-07-28,45.0,nan,48,nan
the fabelmans,nan,nan,76.0,nan,nan
the tutor,nan,nan,48.0,nan,nan
oppenheimer,2023-07-21,88.0,87.0,94,92
batman,nan,nan,72.0,nan,nan
maggie moore(s),nan,44.0,nan,nan,nan
the iron claw,nan,nan,56.0,nan,nan
paachuvum albhuthavilakkum,nan,nan,nan,nan,nan
hereditary,nan,nan,55.0,nan,nan
12 angry men,nan,nan,78.0,nan,nan
murder on the orient express,nan,nan,71.0,nan,nan
bumblebee,nan,nan,67.0,nan,nan
sid is dead,nan,nan,nan,nan,nan
giving birth to a butterfly,nan,54.0,nan,nan,nan
kisi ka bhai kisi ki jaan,nan,nan,nan,nan,nan
black ice,2023-07-14,82.0,nan,96,90
black adam,nan,nan,85.0,nan,nan
catch me if you can,nan,nan,65.0,nan,nan
lonely castle in the mirror,nan,nan,nan,nan,nan
transformers: age of extinction,nan,nan,77.0,nan,nan
natty knocks,2023-07-21,nan,nan,nan,nan
the girl next door,nan,nan,70.0,nan,nan
captain marvel,nan,nan,65.0,nan,nan
ponniyin selvan: part 2,nan,nan,nan,nan,nan
there will be blood,nan,nan,82.0,nan,nan
65,nan,nan,88.0,nan,nan
ib 71,nan,nan,70.0,nan,nan
la la land,nan,nan,50.0,nan,nan
20 days in mariupol,nan,83.0,nan,nan,nan
fight club,nan,nan,88.0,nan,nan
die hard,nan,nan,82.0,nan,nan
warhorse one,nan,nan,49.0,nan,nan
trenque lauquen parte 2,nan,91.0,nan,nan,nan
the lion king,nan,nan,85.0,nan,nan
death on the nile,nan,nan,72.0,nan,nan
kick-ass,nan,nan,76.0,nan,nan
loren & rose,nan,nan,nan,nan,nan
plane,nan,nan,74.0,nan,nan
kandahar,nan,nan,72.0,nan,nan
ghosted,nan,nan,58.0,nan,nan
a time to kill,nan,nan,80.0,nan,nan
